"j","k","method","ISE_MC"
1,7,"GM",0.00153648776593937
1,7,"LL",0.000263288471217801
1,7,"NW",0.00083609265199712
1,10,"GM",0.000914274408152846
1,10,"LL",0.000167877149481997
1,10,"NW",0.000562471274422255
1,14,"GM",0.000920007900811962
1,14,"LL",0.000108324682569001
1,14,"NW",0.000365927036926762
2,7,"GM",0.00566234317795795
2,7,"LL",0.000897463258084721
2,7,"NW",0.00327944603470669
2,10,"GM",0.00469686705581207
2,10,"LL",0.000583120956430243
2,10,"NW",0.00209880721665398
2,14,"GM",0.00424961417161216
2,14,"LL",0.000374947549107411
2,14,"NW",0.000989658803929415
3,7,"GM",0.0036156315887639
3,7,"LL",0.000405619708456879
3,7,"NW",0.00186396704711956
3,10,"GM",0.00284260357905766
3,10,"LL",0.000229540878942829
3,10,"NW",0.00116077531021973
3,14,"GM",0.00315114722627963
3,14,"LL",0.000150513684185391
3,14,"NW",0.000681916000800828
1,7,"GM",0.00147493718151612
1,7,"LL",0.000308054331787359
1,7,"NW",0.000875079116009754
1,10,"GM",0.00118893719018661
1,10,"LL",0.000170676147010268
1,10,"NW",0.000608266362608977
1,14,"GM",0.0008768380084301
1,14,"LL",0.000110375926871772
1,14,"NW",0.000386825937271652
2,7,"GM",0.0061666332597883
2,7,"LL",0.000811232170618413
2,7,"NW",0.00338776940073302
2,10,"GM",0.0046838440123934
2,10,"LL",0.000596295465957042
2,10,"NW",0.00204046810705714
2,14,"GM",0.00374263089292714
2,14,"LL",0.000383902948764993
2,14,"NW",0.00110667228239629
3,7,"GM",0.00338274036086103
3,7,"LL",0.000389500600704922
3,7,"NW",0.00179206344550277
3,10,"GM",0.00279074158019632
3,10,"LL",0.000224227684459209
3,10,"NW",0.00118183205893991
3,14,"GM",0.00230007574257073
3,14,"LL",0.000140177068503473
3,14,"NW",0.00069228728171707
1,7,"GM",0.0013388349956398
1,7,"LL",0.000274820465894405
1,7,"NW",0.000893767215545296
1,10,"GM",0.00112084774620756
1,10,"LL",0.000171384752575208
1,10,"NW",0.000573325626031314
1,14,"GM",0.00123658938079986
1,14,"LL",0.000105713399979877
1,14,"NW",0.000398399540833166
2,7,"GM",0.0063652652579315
2,7,"LL",0.00089032060967432
2,7,"NW",0.00317470141706892
2,10,"GM",0.00466800196384325
2,10,"LL",0.000577499265296171
2,10,"NW",0.00206048478633035
2,14,"GM",0.00331671072545007
2,14,"LL",0.000375971449198502
2,14,"NW",0.00114929225855582
3,7,"GM",0.00512570456287589
3,7,"LL",0.000380440157608079
3,7,"NW",0.00224886664632454
3,10,"GM",0.00299952573784387
3,10,"LL",0.000231129168979072
3,10,"NW",0.00121046980201684
3,14,"GM",0.00227447477662629
3,14,"LL",0.000137196706068828
3,14,"NW",0.000633272172736356
1,7,"GM",0.00122183819470739
1,7,"LL",0.000281446731667193
1,7,"NW",0.000817657751751678
1,10,"GM",0.000927984772304561
1,10,"LL",0.000164507279064897
1,10,"NW",0.000520090426515733
1,14,"GM",0.000980616813722888
1,14,"LL",0.000100364329444001
1,14,"NW",0.00038105145337458
2,7,"GM",0.00599343775545165
2,7,"LL",0.000848682585924901
2,7,"NW",0.00290143682634396
2,10,"GM",0.00464166492876322
2,10,"LL",0.000593010823617512
2,10,"NW",0.00201857308818607
2,14,"GM",0.00375673799374468
2,14,"LL",0.000385839385393646
2,14,"NW",0.00108332326880601
3,7,"GM",0.0037472324778043
3,7,"LL",0.000406115099038609
3,7,"NW",0.00189777625712176
3,10,"GM",0.00280262840527667
3,10,"LL",0.00022853643958519
3,10,"NW",0.00117647358391251
3,14,"GM",0.00207158879675663
3,14,"LL",0.00013436774090551
3,14,"NW",0.000728553407781145
1,7,"GM",0.0013424850479528
1,7,"LL",0.000278120882719204
1,7,"NW",0.000854554660743928
1,10,"GM",0.000984591522599242
1,10,"LL",0.000190727601707391
1,10,"NW",0.000577797964382453
1,14,"GM",0.000689435717471584
1,14,"LL",0.000109432505529743
1,14,"NW",0.000423249545434544
2,7,"GM",0.00539512848836258
2,7,"LL",0.000849461023316233
2,7,"NW",0.00304943935687283
2,10,"GM",0.00489289716821445
2,10,"LL",0.000588140837370113
2,10,"NW",0.00196177615827403
2,14,"GM",0.00379472327349391
2,14,"LL",0.000392564753135133
2,14,"NW",0.00110672459981796
3,7,"GM",0.00366729906638784
3,7,"LL",0.000384328357266353
